player_api_id,player_name,rating
2625,"Patryk Rachwal,18",60.14285714
2752,Diego Mainz,69.38095238
2768,Jose Dorado,69.28571429
2770,Ignacio Gonzalez,71.13333333
2790,Alberto Rey,70.2
2796,Javier Jimenez,64.6
2802,Pablo Hernandez,76.31818182
2805,Ruben Perez,72.53571429
2857,Ivan Perez,65.1875
2862,Vicente Sanchez,72.91176471
2907,Gregory Lacombe,63.3
2973,Ugur Inceman,68.77777778
2977,David Rivas Rodriguez,70.5
2983,Jorge Molina,72.05
2984,Sergio Aragones,68.5
3140,Alexandre Hauw,65.85714286
3204,Marat Izmailov,77.51724138
3263,Kelly Berville,59.66666667
3264,Abdelmalek Cherrad,61.6
3316,Oscar Sanchez,66.76923077
3329,Vincent Euvrard,63.2
3377,Luca Belingheri,66.51515152
3441,Aleksander Radosavljevic,66.64285714
3512,Peter Halmosi,69.84615385
3517,Alexandr Kerzhakov,78.85714286
3520,Andrey Arshavin,79.68
4747,Lee Wilkie,69.4
4863,Boban Grncarov,65.25
4902,Iriney,73.31818182
4939,Tim Clancy,59.77272727
4999,Sebastian Olszar,57.25
5016,Ibrahim Sidibe,64.72727273
5044,Jeroen Verhoeven,65.92307692
5047,Wilko de Vogt,61
5063,Sander Duits,66.57142857
5184,Gudmundur Steinarsson,62
5192,Manuel Silas,71
5202,Remy Gomis,68.76
5217,Laurent Batlles,72.625
5223,Raffaele Rubino,61.63636364
5233,Iban Javier Cuadrado,68.33333333
5243,Julio Alvarez,69.96153846
5247,Perez Richi,65.33333333
5272,Gary Coulibaly,64.38095238
5362,"Ifet Taljevic,23",60
5440,Marjan Petkovic,65.83333333
5468,Freddy Mombongo-Dues,61.25
5610,Yann Jouffre,72.26315789
5629,Bertrand Robert,67.6
5631,Jeremy Blayac,65.42857143
5662,Dimitri Bulykin,68.375
5686,Gerry Koning,64
5687,Rowin van Zaanen,65.6
5693,Kees Kwakman,66.73333333
5700,Charles Dissels,64.33333333
5703,Otman Bakkal,71.06666667
5710,Diederik Boer,68
6757,Denis Dessaer,60
6771,Oliver Vinamont,60
6798,Roel van Hemert,60
6800,Jonas Ivens,65.38888889
6803,Brecht Verbrugghe,59.66666667
6824,Pedro Kamata,66.57142857
6853,Fabian Vargas,69.625
6864,Santiago Acasiete,68
6911,Fabian Canobbio,75.6
7099,Toni Lehtinen,59.66666667
7206,Sebastian Sorsa,60.5
7226,Roni Porokara,64.3
7284,Kasper Haemaelaeinen,67.65853659
7334,Anssi Jaakkola,55.45454545
7604,Tom van Hyfte,66.5
7616,Kristian Nushi,61
7621,Anthony Favre,57.64285714
7627,Thierno Bah,56.33333333
7628,Tibert Pont,55
7663,Jerome Schneider,51.7
7681,Josip Colina,58.33333333
7683,Alessandro Iandoli,64
8777,Michele Polverino,56.625
8780,Marco Perez,67.67857143
8784,Stefan Nater,56.36363636
8800,Thomas Reinmann,59.78947368
8837,Angelo Raso,51.8
8840,Cristian Florin Ianu,64.15384615
8881,Marco Padalino,66.77777778
8893,Antoine Rey,59.11111111
8922,Nikica Jelavic,73.76
8925,Ryan Thomson,52
8930,Hrvoje Cale,67.11111111
8932,Dino Drpic,70.4
8985,Mile Jedinak,70.42307692
9079,Mensur Mujdza,71.22222222
9086,Ivica Vrdoljak,67.92307692
9124,"Ivan Radeljic,18",67
9128,Tomislav Dujmovic,69.7
9144,Yasin Karaca,61
9149,Joost Volmer,64.66666667
9183,Janos Balogh,61.11111111
9203,Tibor Tisza,65
9213,Peter Czvitkovics,68.8
9307,Balazs Toth,65
9449,Oleksandr Shevelyukhin,64.64705882
10348,Alejandro Dominguez,75.66666667
10404,Stanislav Vlcek,72.83333333
10474,Evaldas Razulis,62
10491,Diniyar Bilyaletdinov,72.53846154
10637,Andris Vanins,69.33333333
10880,Robbie Haemhouts,63.5
10933,Robert Jez,65.35
10950,Pavel Krmas,68.12
10967,Petr Jiracek,70.08333333
10984,Maros Klimpl,71.33333333
11024,Tomas Cerny,67.36363636
11027,Roman Hubnik,71.15384615
11038,Vojtech Schulmeister,59.4
11049,Matej Krajcik,67.16666667
11052,Michal Svec,65.5
11061,Csaba Horvath,62.8125
11242,Konstantin Engel,61
11263,Roman Prokoph,62.33333333
11285,Lucas,69.54545455
11316,Jean-Louis Leca,64.26315789
11317,Florent Ghisolfi,58.91666667
11319,Benoit Costil,74.6
11320,Steeve Elana,71.47058824
11321,Vincent Plante,69.08333333
11323,Cedric Hengbart,72.38888889
11324,Nicolas Seube,69.61904762
11327,Anthony Deroin,68.33333333
11329,Reynald Lemaitre,68.42857143
11332,Yohann Eudeline,65.24
11336,Rudy Riou,65.63157895
11349,Jose Gaspar,66
11357,Olafur Ingi Skulason,65.4
